Zone,PickupIndex,PickupName,X,Y,Z
RiddlerLoc_OWA,27,Pickup,9176,5080,-256
RiddlerLoc_OWA,28,Pickup,5168.181,-16383.145,538
RiddlerLoc_OWA,29,Pickup,6596.6743,-12872,-640
RiddlerLoc_OWA,30,Pickup,7020.3047,-7674,-607.9969
RiddlerLoc_OWA,31,Pickup,7320.8477,-6691.5312,-656
RiddlerLoc_OWA,32,Pickup,7089.861,-8388.575,-640
RiddlerLoc_OWA,33,Pickup,6109.054,-5030.4453,-636.3848
RiddlerLoc_OWA,34,Pickup,6439.83,-3011.783,258.24045
RiddlerLoc_OWA,35,Pickup,5612,-720,1986.1047
RiddlerLoc_OWA,36,Pickup,24501.02,8240.068,344.9683
RiddlerLoc_OWB,1,Pickup,28014.87,18443.87,2500
RiddlerLoc_OWB,3,Pickup,27099.23,10611.02,420.4789
RiddlerLoc_OWB,4,Pickup,23908.229,10938.797,1936
RiddlerLoc_OWB,5,Pickup,22038,12828,1094
RiddlerLoc_OWB,6,Pickup,19393.777,10046.756,1662.9003
RiddlerLoc_OWB,7,Pickup,19068.285,10112.591,905.09705
RiddlerLoc_OWB,8,Pickup,18601.504,11374.959,3010.7827
RiddlerLoc_OWB,9,Pickup,25931.68,20854.66,1395
RiddlerLoc_OWB,10,Pickup,25300.828,23276.227,2112
RiddlerLoc_OWB,11,Pickup,22900,21008,1536
RiddlerLoc_OWB,12,Pickup,20224,17024,742
RiddlerLoc_OWB,13,Pickup,13168,10992,704
RiddlerLoc_OWB,14,Pickup,7744.271,12020.686,1987.0743
RiddlerLoc_OWB,15,Pickup,11520,13712,2880
RiddlerLoc_OWB,16,Pickup,17474.037,17512,2916.552
RiddlerLoc_OWB,17,Pickup,14335.888,16735.771,1573.1586
RiddlerLoc_OWB,18,Pickup,13152.643,18651.69,1575.3066
RiddlerLoc_OWB,19,Pickup,10260.707,19160.469,2059.2039
RiddlerLoc_OWB,20,Pickup,9693.528,18442.385,3910.8135
RiddlerLoc_OWB,21,Pickup,20138.488,22300.477,513.41077
RiddlerLoc_OWB,22,Pickup,19818.244,20846.402,512
RiddlerLoc_OWB,23,Pickup,17109.252,20719.252,1139
RiddlerLoc_OWB,24,Pickup,18751.621,24774.395,766.922
RiddlerLoc_OWB,25,Pickup,18946.885,22733.416,1801
RiddlerLoc_OWB,26,Pickup,5119,16779,2334.4873
RiddlerLoc_OWB,27,Pickup,5382,13893,2111
RiddlerLoc_OWB,28,Pickup,12759.6045,25088.54,326.2557
RiddlerLoc_OWB,29,Pickup,11914,26434,1560
RiddlerLoc_OWB,30,Pickup,12288,25504,2356
RiddlerLoc_OWB,31,Pickup,9836.138,25867.172,1141.9502
RiddlerLoc_OWB,32,Pickup,9154.253,23211.23,725.9066
RiddlerLoc_OWB,33,Pickup,6357.3667,24114.787,265.7465
RiddlerLoc_OWC,1,Pickup,-13.678114,16430.926,145.93262
RiddlerLoc_OWC,2,Pickup,-2710.8162,14409.944,1049.0391
RiddlerLoc_OWC,3,Pickup,-3700,13513,1043
RiddlerLoc_OWC,4,Pickup,-4065,19093.76,4637.153
RiddlerLoc_OWC,5,Pickup,-4504,17556.01,1610.3721
RiddlerLoc_OWC,6,Pickup,2421.202,27446.17,1415.6802
RiddlerLoc_OWC,7,Pickup,1352,27510.176,1008
RiddlerLoc_OWC,8,Pickup,3595.3086,31073.27,887.52155
RiddlerLoc_OWC,9,Pickup,1613.4982,30699.365,2184
RiddlerLoc_OWC,10,Pickup,-1369.1616,27479.56,1020.2849
RiddlerLoc_OWC,11,Pickup,-2044,28812,1028
RiddlerLoc_OWC,12,Pickup,-4363.806,28991.168,6142.7754
RiddlerLoc_OWC,13,Pickup,-5400.362,28568.377,1532.8096
RiddlerLoc_OWC,14,Pickup,-1539.016,30293.406,4142.005
RiddlerLoc_OWC,15,Pickup,-3792,23440,1104
RiddlerLoc_OWC,16,Pickup,-4205.7783,24881.623,1580.5028
RiddlerLoc_OWC,17,Pickup,-2548,20408,1020
RiddlerLoc_OWC,18,Pickup,-5551.83,12261.279,1592
RiddlerLoc_OWC,19,Pickup,-7993,13629,3296
RiddlerLoc_OWC,20,Pickup,-9499,13494,1885.7386
RiddlerLoc_OWC,21,Pickup,-10696.573,14350.261,1870.7631
RiddlerLoc_OWC,22,Pickup,-6764,19948,2036
RiddlerLoc_OWC,23,Pickup,-9277.036,17940.236,1868.5609
RiddlerLoc_OWC,24,Pickup,-8183,19067,1854
RiddlerLoc_OWC,25,Pickup,-7826.178,23466.297,342.82312
RiddlerLoc_OWC,26,Pickup,-12336,29104.389,3513.8962
RiddlerLoc_OWC,27,Pickup,-13196,26194.574,4104
RiddlerLoc_OWC,28,Pickup,-20486,15231.9375,1841.4362
RiddlerLoc_OWC,29,Pickup,-13544.69,12888,4761.4863
RiddlerLoc_OWC,30,Pickup,-13293,12535.918,1879.8086
RiddlerLoc_OWC,33,Pickup,-14819.909,21163.572,2461.4502
RiddlerLoc_OWC,34,Pickup,-16500,14929,2394.635
RiddlerLoc_OWC,35,Pickup,-12233.371,19408.014,3233.384
RiddlerLoc_OWC,36,Pickup,-16592,23539.357,368
RiddlerLoc_OWC,37,Pickup,-21823.316,23389.81,2777.3718
RiddlerLoc_OWD,2,Pickup,-8321.939,-7870.814,-896
RiddlerLoc_OWD,21,Pickup,-7333.742,11677.996,295.01102
RiddlerLoc_OWD,27,Pickup,-6566.015,15740.758,288.118
RiddlerLoc_OWE,1,Pickup,182.2168,-24325.719,3584.5042
RiddlerLoc_OWE,2,Pickup,-1920,-22720,-384
RiddlerLoc_OWE,3,Pickup,-6537.484,-23198.049,1092
RiddlerLoc_OWE,4,Pickup,308.0654,-22115.324,1214.9126
RiddlerLoc_OWE,5,Pickup,2383.3406,-20896.582,3840
RiddlerLoc_OWE,6,Pickup,-1912.5951,-20315.236,1777.68
RiddlerLoc_OWE,7,Pickup,-1708,-18776,-381.49136
RiddlerLoc_OWE,8,Pickup,954.9138,-19956.701,1088
RiddlerLoc_OWE,9,Pickup,955.59326,-16064,3200
RiddlerLoc_OWE,10,Pickup,2969.6465,-15176.802,2049
RiddlerLoc_OWE,11,Pickup,-1918.5857,-17152.473,3328
RiddlerLoc_OWE,12,Pickup,-1920,-17408,-384
RiddlerLoc_OWE,13,Pickup,-721.24164,-11943.495,-256.00024
RiddlerLoc_OWE,14,Pickup,-1600,-11008,3168
RiddlerLoc_OWE,15,Pickup,-1500.071,-8805.585,2042.289
RiddlerLoc_OWE,16,Pickup,-2808,-9598.637,-336.66232
RiddlerLoc_OWE,17,Pickup,-3807.7197,-10722.201,3878.104
RiddlerLoc_OWE,18,Pickup,2697.2297,-3558.8271,736.25977
RiddlerLoc_OWE,19,Pickup,1212.3079,-1328,-288
RiddlerLoc_OWE,20,Pickup,3346.58,-5915.405,1618.7081
RiddlerLoc_OWE,21,Pickup,-256.9998,-7550,-382.9616
RiddlerLoc_OWE,22,Pickup,-2133.7998,-864.7232,2410.2366
RiddlerLoc_OWE,23,Pickup,-9792,-18944,3968
RiddlerLoc_OWE,24,Pickup,-2389.5427,-17247.906,1858.2092
RiddlerLoc_OWE,25,Pickup,-8588.177,-17264.232,1088
RiddlerLoc_OWE,26,Pickup,-6524.912,-14331.639,-292.76025
RiddlerLoc_OWE,27,Pickup,-6500,-14424,136
RiddlerLoc_OWE,28,Pickup,-8933.891,-10576.194,3743.4995
RiddlerLoc_OWE,29,Pickup,-9527.427,-10764,1220
RiddlerLoc_OWE,30,Pickup,-8440,-9918,1092
RiddlerLoc_OWE,31,Pickup,-9059.013,-6979.691,3074
RiddlerLoc_OWE,32,Pickup,-11175.197,-4683.9404,193.11826
RiddlerLoc_OWE,33,Pickup,-6514.783,-2448.5137,1151.8989
RiddlerLoc_OWE,34,Pickup,-3842.3623,-3200,1217.9348
RiddlerLoc_OWE,35,Pickup,-4226,-7058,3648
RiddlerLoc_OWE,36,Pickup,-4837.8657,86.89991,-1574.2412
RiddlerLoc_OWD,3,Pickup,-8247.532,-8673.162,-1792
RiddlerLoc_OWD,1,Pickup,-5050.9297,-8690.814,-1660
RiddlerLoc_OWD,4,Pickup,-8691.27,-7512,-1664
RiddlerLoc_OWD,6,Pickup,-7648,-2986.866,-1773.1398
RiddlerLoc_OWD,8,Pickup,-5984,1024,-1760
RiddlerLoc_OWD,9,Pickup,-5728,1280,-1760
RiddlerLoc_OWD,10,Pickup,-5728,1024,-1760
RiddlerLoc_OWD,5,Pickup,-6942,-4757.9517,-1698
RiddlerLoc_OWD,7,Pickup,-6940,270.30017,-1774
RiddlerLoc_OWD,12,Pickup,-8168.505,9332.29,-1784.2627
RiddlerLoc_OWD,11,Pickup,-8477.165,3733.68,-978.88214
RiddlerLoc_OWD,15,Pickup,-7141.001,2872,-1010
RiddlerLoc_OWD,14,Pickup,-6943.567,4668,-1306.5952
RiddlerLoc_OWD,16,Pickup,-5570,4194.8604,-1664
RiddlerLoc_OWD,18,Pickup,-4670,8292,-1570
RiddlerLoc_OWD,19,Pickup,-4485.378,5590,-2075.3684
RiddlerLoc_OWD,20,Pickup,-3347,5208,-1290
RiddlerLoc_OWD,17,Pickup,-5656.3135,4168.9927,-1406.962
RiddlerLoc_OWA,17,Pickup,14234,-4416,3744
RiddlerLoc_OWA,16,Pickup,15219.6875,-3395.2542,3255.2473
RiddlerLoc_OWA,19,Pickup,15256.6875,-779.3035,2459.738
RiddlerLoc_Steel,2,Pickup,6150.874,421.06958,-144
RiddlerLoc_Steel,5,Pickup,5757.5845,2412,6.000045
RiddlerLoc_Steel,1,Pickup,7183.9307,3100.316,-330.60205
RiddlerLoc_Steel,4,Pickup,7342,1495.4196,656
RiddlerLoc_Steel,3,Pickup,4595.0225,-1207.6476,42.12167
RiddlerLoc_Steel,8,Pickup,10486.983,501.61624,-2896.9714
RiddlerLoc_Steel,6,Pickup,9401.177,221.64839,165.55959
RiddlerLoc_Steel,7,Pickup,10048,941,-1554
RiddlerLoc_Steel,10,Pickup,1596.3987,1840.2927,-142
RiddlerLoc_Steel,9,Pickup,2440,4336,134.11201
RiddlerLoc_Steel,11,Pickup,1656.6649,32.329224,1218.4745
RiddlerLoc_Steel,12,Pickup,-2918.5698,1926.9741,-894
RiddlerLoc_Steel,13,Pickup,-4449.0225,-546.67957,2
RiddlerLoc_Steel,14,Pickup,-1946.2456,3599.689,87.60207
RiddlerLoc_Steel,18,Pickup,-7104,5352,-320
RiddlerLoc_Steel,16,Pickup,-7936,3360,-704
RiddlerLoc_Steel,15,Pickup,-7008,1178,-552.7166
RiddlerLoc_Steel,17,Pickup,-10282.347,6113.443,-480.114
RiddlerLoc_Steel,19,Pickup,-6538.168,5105.1343,-892
RiddlerLoc_Steel,20,Pickup,-4403.2554,4458.4277,-491.0877
RiddlerLoc_Steel,21,Pickup,-2048,10008,-732
RiddlerLoc_Steel,22,Pickup,-2484,12302,38
RiddlerLoc_OWD,23,Pickup,-7304.1597,13856.299,-1505.4089
RiddlerLoc_OWD,22,Pickup,-4672,12672,-1152
RiddlerLoc_OWD,24,Pickup,-8979.625,11960.482,-991.0001
RiddlerLoc_OWD,26,Pickup,-8980.84,11714.482,-987.99854
RiddlerLoc_OWD,25,Pickup,-8985.274,11834.482,-990.99854
RiddlerLoc_Underworld,8,Pickup,-5815.819,2944,-512.11523
RiddlerLoc_Underworld,3,Pickup,-4832.9365,4871.2285,-491.25226
RiddlerLoc_Underworld,2,Pickup,-5008,6328,-83.37634
RiddlerLoc_Underworld,4,Pickup,-3901.0444,6124.2295,80.5977
RiddlerLoc_Underworld,1,Pickup,-4302.326,5926.931,279.43927
RiddlerLoc_Underworld,5,Pickup,-3671.9531,6048,-211.5121
RiddlerLoc_Underworld,7,Pickup,-3918.3665,4136.3564,-1892.6229
RiddlerLoc_Underworld,6,Pickup,-2921.0537,4032.7507,572.4943
RiddlerLoc_Underworld,9,Pickup,-980,3904,-1796
RiddlerLoc_Underworld,10,Pickup,-599.82245,5736.267,-2431.3108
RiddlerLoc_Underworld,11,Pickup,1466.7943,6324,-1792
RiddlerLoc_Underworld,14,Pickup,-283.87518,-862.0825,-612.3764
RiddlerLoc_Underworld,13,Pickup,-812.11615,-2298,-848.18604
RiddlerLoc_Underworld,15,Pickup,1006.02747,-813.40796,-516
RiddlerLoc_Underworld,17,Pickup,344,604,-898.22766
RiddlerLoc_Underworld,16,Pickup,885,-1815.3162,-1412.7397
RiddlerLoc_OWE,38,Pickup,-3157.635,3145.9082,91.5511
RiddlerLoc_OWE,37,Pickup,-116.78986,2936.5247,501.68866
RiddlerLoc_OWE,39,Pickup,-2704,1693.1012,4.072706
RiddlerLoc_Underworld,19,Pickup,12416,4731.999,-2432.0532
RiddlerLoc_Underworld,18,Pickup,10995.389,5168.061,-1911.594
RiddlerLoc_Underworld,20,Pickup,13018,1728,-2436
RiddlerLoc_Underworld,21,Pickup,13010,816,-2396
RiddlerLoc_Underworld,22,Pickup,10472.669,1993.3071,-2348
RiddlerLoc_Underworld,23,Pickup,15920.107,2312.702,-2942
RiddlerLoc_Underworld,24,Pickup,15563.102,-197.66121,-2416
RiddlerLoc_Museum,13,Pickup,3904,-10928,61182.656
RiddlerLoc_Museum,10,Pickup,7721.5317,-13557.39,60918.61
RiddlerLoc_Museum,11,Pickup,6638,-13479.624,61836
RiddlerLoc_Museum,12,Pickup,10284.12,-6763.984,60716.664
RiddlerLoc_Museum,23,Pickup,-5376,-12064,60288
RiddlerLoc_Museum,16,Pickup,-811.28314,-9764,60160
RiddlerLoc_Museum,17,Pickup,-3227.0835,-9804.4375,61174.46
RiddlerLoc_Museum,19,Pickup,-2595.5815,-11696.595,61192
RiddlerLoc_Museum,18,Pickup,-5591.2563,-8191.405,60372.062
RiddlerLoc_Museum,15,Pickup,15651.996,-4595.488,61953.227
RiddlerLoc_Museum,14,Pickup,17229.9,-5972.1006,62136.066
RiddlerLoc_Museum,20,Pickup,10199.12,-2302.309,59695.11
